http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L498	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. & Trunz, V. (2014)	35	Megachilidae	Hofferia schmiedeknechti	15	null	null	15														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L499	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2015)	42	Megachilidae	Hoplitis (Alcidamea) tuberculata	87	null	null	87														0.5						1.3									8.9													0.9			84.5														0.4																																						0.5			1.2																				1.8
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L500	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Hoplitis (Anthocopa) villosa	50	null	null	50														95.5															2.1																				2.4																																																																							
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L501	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) alli	13	null	null	13				100.0																																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L502	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) haplophylli	16	null	null	16																																																																																																						100.0																		
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L503	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) heinrichi	15	null	null	15																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L504	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) illustris	18	null	null	18																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L505	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) lysholmi	13	null	null	13																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L506	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) onychophora	20	null	null	20				100.0																																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L507	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2014a)	40	Megachilidae	Hoplitis (Chlidoplitis) taenioceras	43	null	null	43																																																																																																		100.0																						
